sku,digikey_url,digikey_inventory,digikey_price,digikey_status,newark_url,newark_inventory,newark_price,newark_status,combined_inventory,InStock,combined_status,last_updated,combined_stock
130123-01,https://www.digikey.com/en/products/detail/ni/130123-01/16648308,2.0,370.12,Active,https://www.newark.com/molex/1301230171/6000-series-festoon-tow-cables/dp/18P3769,0.0,119.23,DIRECT_SHIP,2.0,True,Active,03-17-2026,Active
132246-01,https://www.digikey.com/en/products/detail/ni/132246-01/18710747,0.0,1688.62,Active,https://www.newark.com/ni-emerson/132246-01/ecuts-b1-adapter-board-rohs-compliant/dp/32AK4700,0.0,1501.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132249-01,https://www.digikey.com/en/products/detail/ni/132249-01/18710656,0.0,1648.12,Active,https://www.newark.com/ni-emerson/132249-01/ecuts-b2-adapter-board-rohs-compliant/dp/32AK4701,0.0,1465.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132503-02,https://www.digikey.com/en/products/detail/ni/132503-02/18710255,0.0,770.62,Active,,,,,0.0,False,Active,03-17-2026,Inactive
132504-02,https://www.digikey.com/en/products/detail/ni/132504-02/18710719,0.0,6061.5,Active,https://www.newark.com/ni-emerson/132504-02/switch-dmm-pxie-4322-cable/dp/32AK4702,0.0,5388.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132508-08,https://www.digikey.com/en/products/detail/ni/132508-08/18710753,0.0,4095.0,Active,https://www.newark.com/ni-emerson/132508-08/ecuts-b8-8-multifunction-cable/dp/32AK4703,0.0,3640.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132542-01,https://www.digikey.com/en/products/detail/ni/132542-01/18710603,0.0,477.0,Active,https://www.newark.com/ni-emerson/132542-01/shipping-kit-cable-assembly-gpib/dp/32AK4704,0.0,424.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132705-01,https://www.digikey.com/en/products/detail/ni/132705-01/18710676,0.0,39.38,Active,https://www.newark.com/ni-emerson/132705-01/shipping-kit-cable-assy-ecuts/dp/47AK3054,0.0,35.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
132706-01,https://www.digikey.com/en/products/detail/ni/132706-01/18710314,0.0,41.62,Active,https://www.newark.com/ni-emerson/132706-01/shipping-kit-cable-assy-ecuts/dp/32AK4705,0.0,37.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
133807-01,https://www.digikey.com/en/products/detail/ni/133807-01/18710453,0.0,52.88,Active,https://www.newark.com/ni-emerson/133807-01/pdu-to-pdu-epo-interlock-1m-lg/dp/32AK4706,0.0,47.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134075-01,https://www.digikey.com/en/products/detail/ni/134075-01/18710759,0.0,257.62,Active,https://www.newark.com/ni-emerson/134075-01/bracket-side-mount-ecuts-16001/dp/32AK4707,0.0,229.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134234-01,https://www.digikey.com/en/products/detail/ni/134234-01/18709872,0.0,102.38,Active,,,,,0.0,False,Active,03-17-2026,Inactive
134726-1R6,https://www.digikey.com/en/products/detail/ni/134726-1R6/18709798,0.0,212.62,Active,https://www.newark.com/ni-emerson/134726-1r6/shdb44m-4ixbf-differential-passthrough/dp/47AK3055,0.0,189.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134726-2R5,https://www.digikey.com/en/products/detail/ni/134726-2R5/27259210,0.0,262.12,Active,https://www.newark.com/ni-emerson/134726-2r5/shdb44m-4ixbf-diff-passthrough/dp/24AM0214,0.0,233.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134727-1R6,https://www.digikey.com/en/products/detail/ni/134727-1R6/18709894,0.0,313.88,Active,https://www.newark.com/ni-emerson/134727-1r6/sh68m-4ixbf-differential-digital/dp/47AK3056,0.0,279.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134729-1R6,https://www.digikey.com/en/products/detail/ni/134729-1R6/18709806,0.0,334.12,Active,,,,,0.0,False,Active,03-17-2026,Inactive
134730-01,https://www.digikey.com/en/products/detail/ni/134730-01/18709905,0.0,313.88,Active,https://www.newark.com/ni-emerson/134730-01/sh68m-8ixbf-diff-analog-input/dp/26AK5427,0.0,279.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134731-01,https://www.digikey.com/en/products/detail/ni/134731-01/18709860,0.0,110.25,Active,https://www.newark.com/ni-emerson/134731-01/ixbf-ixbf-differential-passthrough/dp/47AK3059,0.0,98.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
134731-0R5,https://www.digikey.com/en/products/detail/ni/134731-0R5/18709757,0.0,88.88,Active,https://www.newark.com/ni-emerson/134731-0r5/ixbf-ixbf-differential-passthrough/dp/47AK3058,0.0,79.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
136691-0400,https://www.digikey.com/en/products/detail/ni/136691-0400/27259438,0.0,174.38,Active,https://www.newark.com/ni-emerson/136691-0400/rf-cable-sma-m-to-sma-m-0-400/dp/87AK1804,0.0,155.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
136691-0670,https://www.digikey.com/en/products/detail/ni/136691-0670/27259481,0.0,174.38,Active,https://www.newark.com/ni-emerson/136691-0670/rf-cable-sma-m-to-sma-m-0-670/dp/87AK1805,0.0,155.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
136691-0870,https://www.digikey.com/en/products/detail/ni/136691-0870/27259425,0.0,223.88,Active,https://www.newark.com/ni-emerson/136691-0870/rf-cable-sma-m-to-sma-m-0-870/dp/87AK1806,0.0,199.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
136691-0R40,,,,,,,,,0.0,False,Obsolete,03-17-2026,Inactive
136692-0650,https://www.digikey.com/en/products/detail/ni/136692-0650/27259442,0.0,446.62,Active,https://www.newark.com/ni-emerson/136692-0650/rf-cable-2-92mm-m-to-2-92mm-m/dp/87AK1807,0.0,397.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
136692-1000,https://www.digikey.com/en/products/detail/ni/136692-1000/27259315,0.0,495.0,Active,https://www.newark.com/ni-emerson/136692-1000/rf-cable-2-92mm-m-to-2-92mm-m/dp/87AK1808,0.0,440.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137445-01,https://www.digikey.com/en/products/detail/ni/137445-01/18709926,0.0,1389.38,Active,https://www.newark.com/ni-emerson/137445-01/rf-cable-3-5mm-m-to-3-5mm-m-1/dp/87AK1809,0.0,1235.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137446-01,https://www.digikey.com/en/products/detail/ni/137446-01/18710181,0.0,716.62,Active,https://www.newark.com/ni-emerson/137446-01/rf-cable-3-5mm-m-to-3-5mm-m-1/dp/87AK1810,0.0,637.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137446-03,https://www.digikey.com/en/products/detail/ni/137446-03/18710246,0.0,1073.25,Active,https://www.newark.com/ni-emerson/137446-03/rf-cable-3-5mm-m-to-3-5mm-m-3/dp/87AK1811,0.0,954.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137833-0150,https://www.digikey.com/en/products/detail/ni/137833-0150/27259355,0.0,180.0,Active,,,,,0.0,False,Active,03-17-2026,Inactive
137833-0300,https://www.digikey.com/en/products/detail/ni/137833-0300/27259246,0.0,180.0,Active,https://www.newark.com/ni-emerson/137833-0300/rf-cable-sma-m-to-sma-m-0-300/dp/87AK1813,0.0,160.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137833-0600,https://www.digikey.com/en/products/detail/ni/137833-0600/27259312,0.0,231.75,Active,https://www.newark.com/ni-emerson/137833-0600/rf-cable-sma-m-to-sma-m-0-600/dp/87AK1814,0.0,206.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
137833-0R15,,,,,,,,,0.0,False,Obsolete,03-17-2026,Inactive
137833-1000,https://www.digikey.com/en/products/detail/ni/137833-1000/27259432,0.0,282.38,Active,https://www.newark.com/ni-emerson/137833-1000/rf-cable-sma-m-to-sma-m-1-000/dp/87AK1815,0.0,251.0,NO_LONGER_STOCKED,0.0,False,Obsolete,03-17-2026,Inactive
